id,created_at,text,media_url
930197340756963330,2017-11-13 22:15:02,"b'My ""State of AI in China"" talk at #MITAIJobs with bilingal subtitles. https://t.co/VT4mff4mC6 https://t.co/wesUnuP2Mw'",http://pbs.twimg.com/media/DOi5WQcUEAEzfJm.jpg
929780730217017344,2017-11-12 18:39:35,b'China to Vietnam via California. Can you guess why? O https://t.co/0RqNOt26uB',http://pbs.twimg.com/media/DOc-pJvW0AIUaMN.jpg
928853535885635584,2017-11-10 05:15:14,b'RT @BaseIncomeQuote: Former Google CEO telling the truth about job decimation. #BasicIncome\n\xf0\x9f\x97\xa8\xef\xb8\x8f@kaifulee https://t.co/i0gJcjSjwm',http://pbs.twimg.com/media/DODz0_FUEAAxNC1.jpg
927591706895122432,2017-11-06 17:41:11,b'#China rises to become an equal product innovator to U.S. @csail_alliances #MITAIJobs @sinovationvc https://t.co/tTzRgvS5uV',http://pbs.twimg.com/media/DN92poHU8AAkoad.jpg
926498592541458432,2017-11-03 17:17:32,b'China is surging in #AI technologies. My talk at @csail_alliances #MITAIJobs @sinovationvc https://t.co/rbbZj9AuIh',http://pbs.twimg.com/media/DNuVTEEV4AEmvqa.jpg
925782326277058560,2017-11-01 17:51:21,"b'RT @willknight: .@kaifulee: Western tech companies are now copying Chinese ones, especially in mobile. #MITAIJobs https://t.co/sVxqZ4DjAo'",http://pbs.twimg.com/media/DNj7UxvUMAAihEv.jpg
925756438248431616,2017-11-01 16:08:29,"b'RT @irc4hr: ""Dealing with AI-Induced Job Losses"" @kaifulee #MITAIJobs https://t.co/YNFClRt1P4'",http://pbs.twimg.com/media/DNjTl7YW4AA7Ba6.jpg
925755357867032576,2017-11-01 16:04:11,b'RT @boknilev: First panel on the AI revolution w/ @erikbryn @kaifulee James Manyika @monavernon #MITAIJobs https://t.co/FeGwGvYpIg',http://pbs.twimg.com/media/DNjW9XUXUAA73X-.jpg
905235848387411969,2017-09-06 01:06:59,"b'""Family portrait"" in my den. \xf0\x9f\x98\x81 https://t.co/TrNqmgkWoO'",http://pbs.twimg.com/media/DJALMUnVoAAI43m.jpg
903937968250818560,2017-09-02 11:09:40,b'Sinovation portfolio company works with KFC on face recognition. https://t.co/5sg7lKoUzk',http://pbs.twimg.com/ext_tw_video_thumb/903937728265437184/pu/img/ryPjCbAshHmaDxN2.jpg
